Date,Forecast_Revenue
2018-09-04,42952.18755761265
2018-09-05,45628.98032409114
2018-09-06,46355.100357174626
2018-09-07,46031.8192583487
2018-09-08,46178.20555117086
2018-09-09,45983.70843272693
2018-09-10,46156.58700271023
2018-09-11,46002.57015872818
2018-09-12,46143.98951657317
2018-09-13,46015.23166008969
2018-09-14,46132.41663640248
2018-09-15,46025.673946517425
2018-09-16,46122.88585370658
2018-09-17,46034.35568218074
2018-09-18,46114.98132564066
2018-09-19,46041.55476272178
2018-09-20,46108.42499456395
2018-09-21,46047.52563491326
2018-09-22,46102.98725914355
2018-09-23,46052.477833626
2018-09-24,46098.47724569644
2018-09-25,46056.585145647194
2018-09-26,46094.73667771844
2018-09-27,46059.9917162993
2018-09-28,46091.63428157639
2018-09-29,46062.81709783548
2018-09-30,46089.061179865304
2018-10-01,46065.160445921974
2018-10-02,46086.927070579695
2018-10-03,46067.103999450854
