,Forecast
2018-04-11,42952.18755761265
2018-04-12,45628.98032409114
2018-04-13,46355.100357174626
2018-04-14,46031.8192583487
2018-04-15,46178.20555117086
2018-04-16,45983.70843272693
2018-04-17,46156.58700271023
2018-04-18,46002.57015872818
2018-04-19,46143.98951657317
2018-04-20,46015.23166008969
2018-04-21,46132.41663640248
2018-04-22,46025.673946517425
2018-04-23,46122.88585370658
2018-04-24,46034.35568218074
2018-04-25,46114.98132564066
2018-04-26,46041.55476272178
2018-04-27,46108.42499456395
2018-04-28,46047.52563491326
2018-04-29,46102.98725914355
2018-04-30,46052.477833626
2018-05-01,46098.47724569644
2018-05-02,46056.585145647194
2018-05-03,46094.73667771844
2018-05-04,46059.9917162993
2018-05-05,46091.63428157639
2018-05-06,46062.81709783548
2018-05-07,46089.061179865304
2018-05-08,46065.160445921974
2018-05-09,46086.927070579695
2018-05-10,46067.103999450854
