customer_unique_id,Recency,Frequency,Monetary,Average_Review_Score,Average_Delivery_Time,Average_Delivery_Delay,Average_Processing_Time,Average_Shipping_Time,Average_Freight,Average_Installments,Product_Categories,Preferred_Payment_Method,Average_Order_Value,Cluster
0000366f3b9a7992bf8c76cfdf3221e2,116,1,141.9,5.0,6.0,-5.0,1.0,4.0,12.0,8.0,1,credit_card,141.9,0
0000b849f77a49e4a4ce2b2a4ca5be3f,119,1,27.19,4.0,3.0,-5.0,1.0,1.0,8.29,1.0,1,credit_card,27.19,0
0000f46a3911fa3c0805444483337064,542,1,86.22,3.0,25.0,-2.0,2.0,23.0,17.22,8.0,1,credit_card,86.22,1
0000f6ccb0745a6a4b88665a16c9f078,326,1,43.62,4.0,20.0,-12.0,0.0,19.0,17.63,4.0,1,credit_card,43.62,0
0004aac84e0df4da2b147fca70cf8255,293,1,196.89,5.0,13.0,-8.0,1.0,11.0,16.89,6.0,1,credit_card,196.89,0
0004bd2a26a76fe21f786e4fbd80607f,151,1,166.98,4.0,1.0,-12.0,1.0,0.0,12.98,8.0,1,credit_card,166.98,0
00050ab1314c0e55a6ca13cf7181fecf,136,1,35.38,4.0,6.0,-12.0,0.0,1.0,7.39,1.0,1,boleto,35.38,3
00053a61a98854899e70ed204dd4bafe,187,1,838.36,1.0,16.0,-10.0,1.0,14.0,18.59,3.0,1,credit_card,419.18,0
0005e1862207bf6ccc02e4228effd9a0,548,1,150.12,4.0,4.0,-28.0,1.0,3.0,15.12,3.0,1,credit_card,150.12,0
0005ef4cd20d2893f0d9fbd94d3c0d97,175,1,129.76,1.0,53.0,31.0,1.0,52.0,24.86,4.0,1,credit_card,129.76,1
0006fdc98a402fceb4eb0ee528f6a8d4,412,1,29.0,3.0,16.0,-12.0,3.0,13.0,15.1,2.0,1,credit_card,29.0,0
00082cbe03e478190aadbea78542e933,288,1,126.26,5.0,10.0,-8.0,1.0,7.0,47.26,1.0,1,boleto,126.26,3
00090324bbad0e9342388303bb71ba0a,163,1,63.66,5.0,15.0,-8.0,2.0,13.0,13.71,3.0,1,credit_card,63.66,0
000949456b182f53c18b68d6babc79c1,133,1,82.05,4.0,7.0,-15.0,-1.0,5.0,17.16,1.0,1,boleto,82.05,3
000a5ad9c4601d2bbdd9ed765d5213b3,388,1,91.28,4.0,11.0,-15.0,2.0,8.0,14.29,3.0,1,credit_card,91.28,0
000bfa1d2f1a41876493be685390d6d3,339,1,93.7,4.5,13.0,-13.0,0.0,13.0,11.85,4.0,1,credit_card,46.85,0
000c8bdb58a29e7115cfc257230fb21b,265,1,29.0,5.0,14.0,-9.0,2.0,11.0,15.1,2.0,1,credit_card,29.0,0
000d460961d6dbfa3ec6c9f5805769e1,239,1,36.68,5.0,3.0,-13.0,2.0,1.0,7.78,1.0,1,credit_card,36.68,0
000de6019bb59f34c099a907c151d855,382,1,514.88,2.0,4.0,-16.0,0.0,3.0,13.82,4.0,1,credit_card,257.44,0
000e309254ab1fc5ba99dd469d36bdb4,70,1,78.42,3.0,14.0,-15.0,8.0,6.0,18.52,1.0,1,credit_card,78.42,0
000ec5bff359e1c0ad76a81a45cb598f,13,1,27.75,5.0,6.0,-9.0,1.0,5.0,12.79,1.0,1,boleto,27.75,3
000ed48ceeb6f4bf8ad021a10a3c7b43,106,1,20.75,5.0,2.0,-8.0,1.0,1.0,7.87,1.0,1,credit_card,20.75,0
000fbf0473c10fc1ab6f8d2d286ce20c,39,1,1449.52,5.0,8.0,-14.0,3.0,4.0,19.14,1.0,2,boleto,362.38,3
0010a452c6d13139e50b57f19f52e04e,419,1,325.93,1.0,14.0,-19.0,3.0,11.0,26.93,10.0,1,credit_card,325.93,0
0010fb34b966d44409382af9e8fd5b77,182,1,61.8,4.0,22.0,2.0,1.0,20.0,11.85,6.0,1,credit_card,61.8,1
001147e649a7b1afd577e873841632dd,368,1,424.32,4.0,8.0,-14.0,1.0,7.0,21.08,1.0,1,credit_card,212.16,0
00115fc7123b5310cf6d3a3aa932699e,590,1,76.11,4.0,10.0,-33.0,1.0,9.0,16.12,1.0,1,credit_card,76.11,0
0011805441c0d1b68b48002f1d005526,497,1,297.14,3.0,18.0,-13.0,2.0,15.0,28.14,10.0,1,credit_card,297.14,0
0011857aff0e5871ce5eb429f21cdaf5,432,1,192.83,5.0,8.0,-20.0,1.0,6.0,18.5,3.0,1,credit_card,192.83,0
0011c98589159d6149979563c504cb21,394,1,117.94,5.0,11.0,-28.0,5.0,5.0,17.95,5.0,1,credit_card,117.94,0
0012929d977a8d7280bb277c1e5f589d,321,1,155.65,1.0,7.0,-15.0,0.0,4.0,25.75,1.0,1,boleto,155.65,3
0014a5a58da615f7b01a4f5e194bf5ea,228,1,99.82,5.0,8.0,-7.0,6.0,2.0,11.82,3.0,1,credit_card,99.82,0
0015752e079902b12cd00b9b7596276b,32,1,149.64,5.0,3.0,-4.0,0.0,3.0,7.51,3.0,1,credit_card,74.82,0
00172711b30d52eea8b313a7f2cced02,38,1,122.07,4.0,10.0,-15.0,3.0,7.0,47.57,2.0,1,credit_card,122.07,0
00191a9719ef48ebb5860b130347bf33,502,1,58.86,3.0,15.0,-19.0,7.0,7.0,10.96,2.0,1,credit_card,58.86,0
001926cef41060fae572e2e7b30bd2a4,382,1,182.42,4.0,8.0,-21.0,3.0,4.0,21.21,1.0,2,credit_card,91.21,0
001928b561575b2821c92254a2327d06,10,1,329.62,2.0,6.0,-11.0,2.0,3.0,13.959999999999999,6.0,2,credit_card,164.81,0
00196c4c9a3af7dd2ad10eade69c926f,37,1,37.58,5.0,16.0,-8.0,9.0,4.0,15.26,1.0,1,boleto,37.58,3
00196fdb2bf9edfc35e88ebfbcf8d781,193,1,27.0,3.0,28.0,1.0,1.0,26.0,14.1,1.0,1,credit_card,27.0,1
0019da6aa6bcb27cc32f1249bd12da05,205,1,87.71,1.0,5.0,-10.0,3.0,1.0,7.81,1.0,1,credit_card,87.71,0
0019e8c501c85848ac0966d45226fa1d,125,1,197.27,5.0,17.0,-20.0,6.0,11.0,37.28,2.0,1,credit_card,197.27,0
001a2bf0e46c684031af91fb2bce149d,431,1,36.73,4.0,3.0,-18.0,0.0,2.0,11.85,1.0,1,credit_card,36.73,0
001a34eb30ecb8e3aacb07c475ca4dd1,54,1,161.71,5.0,1.0,-6.0,0.0,1.0,9.81,1.0,1,credit_card,161.71,0
001a3a8e11d76c9a366c31a4aa2cc529,106,1,24.23,5.0,17.0,-7.0,0.0,17.0,15.23,1.0,1,credit_card,24.23,0
001ae44fa04911a9e9577356dce6c63c,301,1,116.23,5.0,10.0,-12.0,0.0,7.0,16.33,1.0,1,boleto,116.23,3
001ae5a1788703d64536c30362503e49,269,1,135.08,5.0,31.0,0.0,2.0,28.0,45.09,1.0,1,boleto,135.08,1
001deb796b28a3a128d6113857569aa4,73,1,63.33,4.0,11.0,-36.0,2.0,7.0,23.43,6.0,1,credit_card,63.33,0
001f3c4211216384d5fe59b041ce1461,533,1,35.84,3.0,10.0,-11.0,1.0,8.0,10.96,3.0,1,credit_card,35.84,0
