Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2016-10-04,13456.14,2022.945714285714,474.5226666666667,October,10,Tuesday,0,2016,10,4,40,4,1,595.14,109.34,0.0,0.0,0.0,272.46,2022.945714285714,1011.472857142857,474.5226666666667,5046.247533467673,2454.3018652195638
2016-10-05,15753.29,4273.415714285714,997.1303333333334,October,10,Wednesday,0,2016,10,4,40,5,2,13456.14,595.14,109.34,0.0,0.0,75.06,4273.415714285714,2136.707857142857,997.1303333333334,7091.843005749298,3712.8478210653266
2016-10-06,11312.51,5889.488571428571,1374.214,October,10,Thursday,0,2016,10,4,40,6,3,15753.29,13456.14,595.14,0.0,0.0,0.0,5889.488571428571,2944.7442857142855,1374.214,7243.046659245976,4156.087995422354
2016-10-07,10381.31,7372.532857142856,1720.2576666666669,October,10,Friday,0,2016,10,4,40,7,4,11312.51,15753.29,13456.14,0.0,0.0,0.0,7372.532857142856,3686.266428571428,1720.2576666666669,6890.389334519286,4458.876783734761
2016-10-08,10505.11,8873.262857142856,2070.4280000000003,October,10,Saturday,1,2016,10,4,40,8,5,10381.31,11312.51,15753.29,0.0,0.0,0.0,8873.262857142856,4436.631428571428,2070.4280000000003,6117.710031587838,4723.753801037535
2016-10-09,6895.09,9842.655714285715,2300.2643333333335,October,10,Sunday,1,2016,10,4,40,9,6,10505.11,10381.31,11312.51,109.34,0.0,0.0,9842.655714285715,4929.137857142857,2300.2643333333335,4917.435351379338,4786.862763277531
2016-10-10,5345.53,10521.282857142858,2478.4486666666667,October,10,Monday,0,2016,10,4,41,10,0,6895.09,10505.11,10381.31,595.14,0.0,0.0,10521.282857142858,5310.961428571429,2478.4486666666667,3572.3678380252404,4797.7636155032105
2016-10-11,0.0,8598.977142857144,2478.4486666666667,October,10,Tuesday,0,2016,10,4,41,11,1,5345.53,6895.09,10505.11,13456.14,0.0,0.0,8598.977142857144,5310.961428571429,2478.4486666666667,5046.253784041894,4797.7636155032105
2016-10-12,0.0,6348.507142857144,2478.4486666666667,October,10,Wednesday,0,2016,10,4,41,12,2,0.0,5345.53,6895.09,15753.29,0.0,0.0,6348.507142857144,5310.961428571429,2478.4486666666667,4832.079821652762,4797.7636155032105
2016-10-13,0.0,4732.434285714286,2478.4486666666667,October,10,Thursday,0,2016,10,4,41,13,3,0.0,0.0,5345.53,11312.51,0.0,0.0,4732.434285714286,5310.961428571429,2478.4486666666667,4786.689019857939,4797.7636155032105
2016-10-14,0.0,3249.39,2478.4486666666667,October,10,Friday,0,2016,10,4,41,14,4,0.0,0.0,0.0,10381.31,0.0,0.0,3249.39,5310.961428571429,2478.4486666666667,4331.369021383422,4797.7636155032105
2016-10-15,0.0,1748.6599999999999,2478.4486666666667,October,10,Saturday,1,2016,10,4,41,15,5,0.0,0.0,0.0,10505.11,0.0,0.0,1748.6599999999999,5310.961428571429,2478.4486666666667,3019.7205864064044,4797.7636155032105
2016-10-16,0.0,763.6471428571429,2478.4486666666667,October,10,Sunday,1,2016,10,4,41,16,6,0.0,0.0,0.0,6895.09,109.34,0.0,763.6471428571429,5303.151428571429,2478.4486666666667,2020.4204294050073,4797.7636155032105
2016-10-17,0.0,0.0,2478.4486666666667,October,10,Monday,0,2016,10,4,42,17,0,0.0,0.0,0.0,5345.53,595.14,0.0,0.0,5260.641428571429,2478.4486666666667,0.0,4797.7636155032105
2016-10-18,0.0,0.0,2478.4486666666667,October,10,Tuesday,0,2016,10,4,42,18,1,0.0,0.0,0.0,0.0,13456.14,0.0,0.0,4299.488571428572,2478.4486666666667,0.0,4797.7636155032105
2016-10-19,0.0,0.0,2478.4486666666667,October,10,Wednesday,0,2016,10,4,42,19,2,0.0,0.0,0.0,0.0,15753.29,0.0,0.0,3174.253571428572,2478.4486666666667,0.0,4797.7636155032105
2016-10-20,0.0,0.0,2478.4486666666667,October,10,Thursday,0,2016,10,4,42,20,3,0.0,0.0,0.0,0.0,11312.51,0.0,0.0,2366.217142857143,2478.4486666666667,0.0,4797.7636155032105
2016-10-21,0.0,0.0,2478.4486666666667,October,10,Friday,0,2016,10,4,42,21,4,0.0,0.0,0.0,0.0,10381.31,0.0,0.0,1624.695,2478.4486666666667,0.0,4797.7636155032105
2016-10-22,0.0,0.0,2478.4486666666667,October,10,Saturday,1,2016,10,4,42,22,5,0.0,0.0,0.0,0.0,10505.11,0.0,0.0,874.3299999999999,2478.4486666666667,0.0,4797.7636155032105
2016-10-23,0.0,0.0,2478.4486666666667,October,10,Sunday,1,2016,10,4,42,23,6,0.0,0.0,0.0,0.0,6895.09,0.0,0.0,381.8235714285714,2478.4486666666667,0.0,4797.7636155032105
